2,556
305,367
261,360
215,349
213,345
292,343
2,451
2,352
2,360
347,343
255,347
310,343
189,367
239,347
374,415
389,352
145,343
149,347
156,354
143,343
178,563
165,352
134,343
103,360
140,338
173,600
193,404
250,396
279,387
303,345
246,349
2,341
521,352
499,297
184,167
182,180
160,180
19,169
2,171
22,169
15,173
6,171
8,178
2,167
2,171
2,162
2,167
2,182
2,189
2,184
2,180
2,215
,173
,167
,165
,167
,173
,200
,204
,275
,253
,165
,167
,246
,2
,2
,2
,2
,277
